iso3c,country_name,city_name,city_code,income_id,region_id,food_pct,plastic_pct,paper_pct,glass_pct,metal_pct,other_pct,recycling_pct,open_dump_pct,income_label
MDA,Moldova,Soldanesti,sdti,LMIC,Eur. & Cent. Asia,NA,0.131,0.052,0.036,0.007,0.48,NA,0.7,Lower-Middle Income
MNG,Mongolia,Ulaanbaatar,ular,LMIC,E. Asia & Pacific,0.27,0.19,0.18,NA,NA,0.33,NA,NA,Lower-Middle Income
MNE,Montenegro,Kotor,koto,UMIC,Eur. & Cent. Asia,0.349410858914109,0.116325427457254,0.183556204379562,0.0519628503816285,0.0249985301469853,0.0881595440455955,NA,NA,Upper-Middle Income
MNE,Montenegro,Podgorica,podg,UMIC,Eur. & Cent. Asia,0.36839264593126,0.147007660766077,0.199248504850485,0.0552047071373804,0.006600600060006,0.067501700170017,NA,NA,Upper-Middle Income
MOZ,Mozambique,Maputo,mpto,LIC,Sub-Saharan Africa,0.68,0.1,0.12,NA,NA,0.1,NA,0.7,Low Income
MMR,Myanmar,Mandalay,mand,LMIC,E. Asia & Pacific,0.64,0.14,0.06,0.02,0.01,0.0599999999999999,0.136,NA,Lower-Middle Income
MMR,Myanmar,Yangon,yang,LMIC,E. Asia & Pacific,0.4433,0.197,0.089,0.0593,0.0215,0.1103,0.25,NA,Lower-Middle Income
NAM,Namibia,Windhoek,wdhk,UMIC,Sub-Saharan Africa,0.15,0.11,0.15,0.14,0.04,0.08,0.035,NA,Upper-Middle Income
NPL,Nepal,Kathmandu,kath,LMIC,S. Asia,0.7087,0.0916,0.0815,0.0375,0.0172,0.0217000000000001,NA,NA,Lower-Middle Income
NLD,Netherlands,Amsterdam,amst,HIC,Eur. & Cent. Asia,0.275350454334936,0.100302672520075,0.162467955199249,0.0907006477452854,0.0258380571555306,0.249567843653988,0.58,NA,High Income
NLD,Netherlands,Eindhoven,eind,HIC,Eur. & Cent. Asia,0.39,0.14,0.08,0.03,0.02,0.09,0.30657819321025,NA,High Income
NZL,New Zealand,Auckland,auck,HIC,E. Asia & Pacific,0.380911167138007,0.0888762812292854,0.177911766323462,0.115828048247455,0.0372450205372986,0.0681160972475099,0.252,NA,High Income
NZL,New Zealand,Wellington,well,HIC,E. Asia & Pacific,0.269342718462258,0.102200345088933,0.107449244513247,0.0618257462145034,0.0269056488155709,0.126461387128505,0.224354268624252,NA,High Income
NIC,Nicaragua,Managua,mana,LMIC,L. Amer. & the Caribbean,NA,NA,NA,NA,NA,NA,0.0081,0.26742,Lower-Middle Income
NIC,Nicaragua,Puerto Cabezas,puca,LMIC,L. Amer. & the Caribbean,NA,NA,NA,NA,NA,NA,NA,NA,Lower-Middle Income
NER,Niger,Niamey,namy,LIC,Sub-Saharan Africa,0.1158,0.0769,0.0426,0.0291,0.0452,0.6113,NA,NA,Low Income
NGA,Nigeria,Ibadan,iban,LMIC,Sub-Saharan Africa,0.76,0.04,0.066,0.006,0.025,0.089,NA,0.4,Lower-Middle Income
NGA,Nigeria,Kano,kano,LMIC,Sub-Saharan Africa,0.377,0.226,0.1634,0.032,0.0312,0.0844,0.065,NA,Lower-Middle Income
NGA,Nigeria,Lagos,lago,LMIC,Sub-Saharan Africa,0.34,0.31,0.07,0.03,0.02,0.11,0.08,0.4,Lower-Middle Income
MKD,North Macedonia,Kratovo,krat,UMIC,Eur. & Cent. Asia,0.076,0.046,0.031,0.018,0.001,0.02,NA,NA,Upper-Middle Income
MKD,North Macedonia,Skopje,skop,UMIC,Eur. & Cent. Asia,NA,NA,NA,NA,NA,NA,NA,NA,Upper-Middle Income
MNP,Northern Mariana Islands,Saipan,span,HIC,E. Asia & Pacific,0.156,0.176,0.287,0.048,0.059,0.274,0.024,NA,High Income
NOR,Norway,Bergen,berg,HIC,Eur. & Cent. Asia,0.2,0.08,0.18,0.04,0.05,0.14,0.464,NA,High Income
NOR,Norway,Oslo,oslo,HIC,Eur. & Cent. Asia,0.2807,0.0868,0.0729,0.0473,0.0016,0.2868,0.37,NA,High Income
OMN,Oman,Muscat,musc,HIC,Mid. East & N. Africa,0.19,0.33,0.03,0.03,0.02,0.34,NA,NA,High Income
PAK,Pakistan,Karachi,kara,LMIC,S. Asia,0.261,0.08,0.08,0.056,0.011,0.137,NA,NA,Lower-Middle Income
PAK,Pakistan,Lahore,laho,LMIC,S. Asia,0.6131,0.1067,0.0253,0.0078,9e-4,0.1077,NA,0.7965,Lower-Middle Income
PLW,Palau,Koror,koro,UMIC,E. Asia & Pacific,0.44,0.08,0.06,0.06,0.05,0.26,NA,NA,Upper-Middle Income
PAN,Panama,Colón,colo,UMIC,L. Amer. & the Caribbean,NA,NA,NA,NA,NA,NA,NA,NA,Upper-Middle Income
PAN,Panama,Panama City,pana,UMIC,L. Amer. & the Caribbean,0.39,0.19,0.15,0.02,0.04,0.1,0.02,NA,Upper-Middle Income
PAN,Panama,San Miguelito,sanm,UMIC,L. Amer. & the Caribbean,0.374875,0.13487500000000002,0.19687500000000002,0.032875,0.055875,0.018875,NA,NA,Upper-Middle Income
PNG,Papua New Guinea,Port Moresby,pomo,LMIC,E. Asia & Pacific,0.35,0.11,0.22,0.06,0.14,0.06,NA,NA,Lower-Middle Income
PRY,Paraguay,Asuncion,asun,UMIC,L. Amer. & the Caribbean,0.3633,0.1212,0.0725,0.0284,0.0081,0.059,NA,NA,Upper-Middle Income
PRY,Paraguay,Ciudad Del Este,cide,LMIC,L. Amer. & the Caribbean,0.571,0.103,0.115,0.018,0.016,0.004,NA,NA,Lower-Middle Income
PRY,Paraguay,San Lorenzo,sanl,LMIC,L. Amer. & the Caribbean,0.2,0.12,0.06,0.04,0.02,0.5,NA,NA,Lower-Middle Income
PER,Peru,Lima,lima,UMIC,L. Amer. & the Caribbean,0.5758,0.1076,0.0927,0.0163,0.0188,0.034,NA,NA,Upper-Middle Income
PHL,Philippines,Cebu,cebu,LMIC,E. Asia & Pacific,0.67,0.15,0.04,0.01,0.01,0.12,NA,NA,Lower-Middle Income
PHL,Philippines,Manila,mani,LMIC,E. Asia & Pacific,0.4279,0.1775,NA,NA,NA,0.2668,NA,NA,Lower-Middle Income
POL,Poland,Kraków,krkw,HIC,Eur. & Cent. Asia,NA,NA,NA,NA,NA,NA,0.2158,NA,High Income
POL,Poland,Warsaw,warw,HIC,Eur. & Cent. Asia,NA,NA,NA,NA,NA,NA,0.268,NA,High Income
PRT,Portugal,Guimarães,guim,HIC,Eur. & Cent. Asia,0.3742,0.1233,0.1108,0.0518,0.02,0.2022,NA,NA,High Income
PRT,Portugal,Lisbon,lisb,HIC,Eur. & Cent. Asia,0.497,0.116,0.119,0.033,0.022,0.154,0.2,NA,High Income
